@relation HAR

@attribute accX__fft1 numeric
@attribute accX__fft2 numeric
@attribute accX__fft3 numeric
@attribute accX__fft4 numeric
@attribute accX__fft5 numeric
@attribute accY__fft1 numeric
@attribute accY__fft2 numeric
@attribute accY__fft3 numeric
@attribute accY__fft4 numeric
@attribute accY__fft5 numeric
@attribute accZ__fft1 numeric
@attribute accZ__fft2 numeric
@attribute accZ__fft3 numeric
@attribute accZ__fft4 numeric
@attribute accZ__fft5 numeric
@attribute accM__fft1 numeric
@attribute accM__fft2 numeric
@attribute accM__fft3 numeric
@attribute accM__fft4 numeric
@attribute accM__fft5 numeric
@attribute class {walking,running,static,cycling}

@data
-0.83,-3.51,-15.1,3.59,-32.65,1.69,15.94,6.88,46.71,-2.19,-6.79,21.95,-2.76,2.15,14.95,-1.42,-11.86,-17.35,-44.43,4.47,walking
5.38,-14.88,-11.28,-17.08,14.15,0.91,6.04,-6.36,14.04,-11.77,3.28,-6.34,2.48,0.87,1.1,-0.35,-10.64,5.53,-4.9,26.36,walking
-1.1,-41.4,11.89,-60.15,-10.81,2.02,9.47,-2.12,8.76,-5.25,1.15,5.52,-11.28,5.26,-10.21,0.18,10.27,-35.16,-17.67,-12.39,walking
-4.77,4.73,-3.51,1.52,15.35,2.76,-9.02,-0.14,-2.82,-15.04,-3.25,-1.52,-2.08,-16.76,0.55,-1.83,19.52,16.25,34.76,13.41,walking
-2.04,2.48,10.58,4.84,10.83,0.32,-16.44,-5.72,-13.94,-12.59,-0.68,-33.78,-13.62,-62.35,9.16,-2.31,34.4,-11.32,20.15,-6.77,walking
-1.71,-6.62,-11.89,-16.32,-13.98,-1.13,-50.31,6.81,-80.36,18.25,1.85,45.79,3.19,113.91,24.53,2.82,14.45,-0.53,10.84,-3,walking
-2.89,25.63,-7.98,38.02,-44.35,-9.4,79.51,-12.43,95.65,27.45,-11.61,-18.21,37.09,-23.74,-34,12.29,-75.75,44.34,-56.84,26.85,walking
-3.37,-37.33,101.48,-0.39,2.33,-2.67,-14.65,-11.01,-7.04,-28.59,-4.22,-59.97,26.22,-81.8,44.11,4.36,29.99,-18.71,33.78,-25.99,walking
0.69,-6.93,-22.2,6.76,0.18,-1.55,-25.38,-21.06,-46.85,-8.73,2.67,80.42,36.47,114.24,-5.52,0.96,3.85,53.44,-20.59,-6.5,walking
-3.01,18.57,-14.78,17.02,-25.18,-0.09,34.01,23.98,40.41,68.58,3.04,-11.01,-1.7,-5.6,-47.88,-1.46,-15.21,-21.57,-12.11,-42.29,walking
-3.31,-6.39,4.51,-13.81,6.9,6.97,-15.48,-9.41,20.98,-37.29,12.33,-45.88,-17.55,-75.89,-1.4,-10.42,64.61,1.96,18.37,10.56,walking
1.09,-14.71,14.85,-11.95,-3.15,2.57,6.43,-7.43,-23.16,-38.29,5.95,42.9,26.39,77.02,54.24,-3.08,-52.3,8.32,-56.63,24.39,walking
-1.62,39.23,-2.77,47.28,-5.17,-2.21,-1.64,26.98,1,68.33,-1.61,-14.54,-13.81,-9.73,-69.16,1.36,10.25,-6.01,6.21,-17.31,walking
-2.1,-19,6.12,-25.96,2.93,2.27,5.98,-10.03,28.35,-39.23,-3.79,-57.7,-13.43,-93.18,7.08,1.35,18.01,-13.23,2.6,-12.7,walking
-3.37,-2.01,0.86,21.78,-18.86,2,-20.49,-3.32,-45.71,-16.87,1.01,51.36,-2.14,70.95,40.36,-1.76,-34.59,9.95,-43.82,32.2,walking
0.16,-2.3,12.41,22.14,-4.58,0.23,35.25,12.62,34.94,57.17,3.18,-10.46,-26.51,-9.76,-60.6,0.55,-19.7,2.08,-12.22,-17.92,walking
-1.03,-17.89,1.44,-9.23,-13.34,2.27,-23.39,-13.57,18.62,-40.12,-6.78,-22.5,-11.92,-96.91,20.91,0.74,68.54,-5.99,20.17,14.26,walking
0.89,-27.74,102.83,-52.75,25.78,3.39,14.92,-11.49,-3.21,-29.39,-1.69,59.28,25.29,83.23,60.4,-5.69,-51.41,5.69,-57.44,7.37,walking
-3.64,50.31,-13.51,52.2,-20.97,8.11,-17.91,20.34,-21.98,63.16,-0.89,-15.52,-14,-7.64,-53.99,-8.65,39.02,-12.53,43.97,-16.45,walking
1.81,-28.92,-19.45,-26.26,0.21,-2.51,15.93,-10.69,29.25,-29.45,1.47,-44.54,-1.94,-61.42,-7.14,2.71,17.9,14.31,32.46,16.45,walking
5.79,-22.98,-4.73,-21.26,-6.27,1.11,37.68,0.32,29.91,-21.63,4.29,21.54,33.25,31.79,80.18,-4.26,-68.92,-15.75,-83.06,4.57,walking
3.7,17.59,11.64,33.22,26.74,1.13,-77.21,5,-93.35,33.19,-8.68,-6.38,-14.68,36.19,-57.99,-0.5,86.82,13.36,84.08,12.82,walking
-2.33,12.08,-5.54,6.52,-12.02,1.69,61.5,-1.32,78.08,-5.07,6.08,-23.64,-5.96,-42.02,-28.26,-2.62,-52.94,-0.84,-28.97,0.3,walking
-5.32,23.8,2.85,-9.41,11.03,7.08,-5.41,-9.32,-15.44,-25.88,2.65,-33.07,14.23,-18.83,100,-7.15,-5.49,1.31,-0.01,-15.97,walking
-2.31,-37.12,-1.65,-19.57,22.65,-4.99,-54.53,-0.86,-76.75,17.13,-3.34,63.09,-0.52,88.82,-46.42,5.94,74.13,19.81,52.87,-1.55,walking
0.61,13.06,14.5,28.07,-26.01,-3.25,49.7,-4.1,83.29,32.45,-0.88,-4.31,-15.65,-41.29,-58.64,1.92,-25.98,-11.56,-66.26,-31.38,walking
-2.61,23.63,3.55,3.27,18.26,-0.09,-28.86,-3.98,-24.05,-25.9,1.98,-40.72,4.99,-91.48,41.92,-1.16,27.62,-27.59,15.22,6.89,walking
0.16,-19.14,-12.19,-3.76,-1.43,-0.24,-23.47,-4.37,-56.5,-4.64,-2.13,77.12,2.97,109.09,-8.88,-1.71,-1.68,19.73,-6.05,26.08,walking
0.74,12.66,-9.08,19.66,-9.08,-8.16,57.07,12.79,79.74,49.93,-0.89,-16.72,-5.34,-23.04,-59.65,4.04,-53.17,-15.89,-47.17,-36.31,walking
0.27,-9.73,11.49,-27.24,11.3,1.13,-28.13,-13.97,-11.55,-48.03,1.67,-32.41,5.51,-87.66,31.62,-1.51,59.65,-11.77,47.99,6.73,walking
